Instrument,Latitude,Longitude,ocean,year,month,Group_index,PFT,Selection,Min_size,Max_size,Average_size,Slope,Slope_sd,Total_abundance,Max_abundance,Intercept_ref,Intercept_ref_sd,Intercept,Intercept_sd,R2,Absolute_intercept,Date_bin,Month,Conductivity,Salinity,Oxygen,AOU,MLD,Phosphates,Silicates,Temperature,Nitrates,SLA,CHL,Iron,PAR,Aerosol_thickness,DUWT001,PSD_slope,Picophytoplankton,Nanophytoplankton,Microphytoplankton,FSLE,theta_max
Scanner,-24.5,35.5,Indian Ocean,2009,11.0,15,Crustaceans,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True]",,,,,,,,,,,,,,2009-11,November,,,,,,,,,,0.005541666666666667,0.3334407,0.0014057391,51.616257,0.09996736,7.0056396e-13,4.2834773,0.63137203,0.30815858,0.060469385,-0.103141144,5.202534
Scanner,-24.5,36.5,Indian Ocean,2009,10.0,13,Crustaceans,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True]",,,,,,,,,,,,,,2009-10,October,5.321209,35.368313,210.44685,-7.596832,24.15824,136.081,2780.2585,24.43749,215.18849,-0.136825,0.108820416,0.00041519012,55.187332,0.087675005,3.2890306e-13,4.8657985,0.8395122,0.15477756,0.0057101976,-0.09456215,19.776121
Scanner,-24.5,36.5,Indian Ocean,2009,11.0,16,Crustaceans,"[False, False, False, False, False, False, False, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]",910.6371395896388,1827.9770239256288,1167.7145043966077,-0.6815165253733141,0.0264924487727473,119.8527594003386,53.24146456461701,1.4520276799422958,0.0090718752633089,1.7266551921725832,0.0582769116850505,0.9969869184927286,53.291162263773145,2009-11,November,5.383673,35.43749,217.22449,-8.0,29.44631,130.65907,15.79935,25.499409,244.1957,0.13313750000000002,0.078420214,0.00037169066,52.207027,0.09997222,7.505961e-13,4.9260416,0.8501859,0.14475037,0.0050637415,-0.12293352,33.34835
Scanner,-24.5,37.5,Indian Ocean,2009,11.0,17,Crustaceans,"[False, False, False, False, False, False, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",724.1443226318906,1450.068963877236,859.5865973007677,-1.078012916874929,0.147136126105582,124.99257010884168,71.30689472144739,1.148367626534264,0.0708597357484974,1.9046217024161576,0.8372457216426732,0.981711644796955,80.28265055605236,2009-11,November,5.389919,35.39169,217.62454,-7.932804,33.36973,150.81615,921.4103,25.35931,132.82132,0.39206875,0.06721018,0.00036482475,53.948803,0.089924306,7.5595693e-13,4.9148436,0.8449408,0.14920567,0.0058535803,-0.09978928,5.4491115
Scanner,-23.5,-129.5,South Pacific Ocean,2011,6.0,60,Crustaceans,"[False, False, False, False, False, False, False, False, False, False, True, True, True, True, False, False, False, False, False, False, False, False, False, False]",1827.9770239256288,3650.3424496887937,2143.391489977605,-1.1653736978371545,0.2816823324816315,1.991548737367,1.1976180719127,0.6211009624499346,0.2851000732721403,0.0326911724857901,32.451749156466946,0.8953775276985825,1.0781797541848333,2011-06,June,5.400494,36.153988,211.1157,-5.903227,103.88101,190.66832,624.494,24.5712,0.0,0.037825,0.04153857,4.274038e-05,30.374025,0.057761103,3.120296e-13,5.4283853,0.92592555,0.073252514,0.0008219072,-0.04400797,37.048916
Scanner,-23.5,36.5,Indian Ocean,2009,11.0,18,Crustaceans,"[False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",910.6371395896388,1450.068963877236,1082.2096563892394,-0.7649734837931681,0.1351487649469714,63.2931135755526,31.0622396631129,1.2078033295401505,0.036104802279026,1.5160611001953477,0.6568771651648593,0.9697320404649428,32.814145556180634,2009-11,November,5.4731517,35.371887,222.47307,-8.0,33.6919,161.71538,15.79935,26.042309,170.42657,0.06798125000000001,0.081417404,0.0004890155,53.617527,0.09670069,6.321382e-13,5.131684,0.888321,0.10935414,0.0023248633,-0.09387221,17.106062
Scanner,-23.5,37.5,Indian Ocean,2009,11.0,19,Crustaceans,"[False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",724.1443226318906,1147.0832576583095,877.3681225950672,-0.5338143049553747,0.0369766501225159,60.5363586030191,27.479839633139505,1.070950114877355,0.0174087384224967,1.4454347222203294,0.1864482706193198,0.9952247525478848,27.8891143013247,2009-11,November,5.4485235,35.344788,218.38397,-7.904236,35.400192,167.46791,731.64996,25.82099,100.011086,0.18850000000000003,0.07675924,0.0004737463,55.787067,0.09385068,6.185853e-13,5.264757,0.90709877,0.09144142,0.0014598205,-0.123044245,43.060402
Scanner,-22.5,42.5,Indian Ocean,2010,5.0,40,Crustaceans,"[False, False, False, False, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False]",455.9298191608002,2895.6864471140507,620.1196653871363,-1.1564600273568546,0.0888366890645098,671.5151553952762,275.3292106942842,1.1291492807869197,0.0696599230135878,2.6375286359202907,0.2181206882328996,0.9603317708942328,434.0388817681178,2010-05,May,5.5003514,35.21701,206.35141,-2.0695114,49.79857,156.69278,1752.068,26.01729,0.0,0.014956249999999999,0.15266809,0.0008989242,37.72808,0.0642493,2.1569319e-13,4.25625,0.64777434,0.3144772,0.037748475,-0.13713425,-14.153779
Scanner,-21.5,-175.5,South Pacific Ocean,2019,11.0,227,Crustaceans,"[False, False, False, False, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False]",455.9298191608002,2895.6864471140507,623.2780733742782,-1.1001332832659845,0.0734446697857804,575.1456819035632,256.1576227039778,1.1162336118149212,0.0575905078961316,2.551145578609126,0.1864346876344198,0.9697457843966468,355.7505487067617,2019-11,November,5.4120564,35.47459,212.39975,-7.467064,37.61272,153.82115,1160.3423,24.72091,88.07935,0.095625,0.13988017,0.0001810054,56.6064,0.07030625,6.179315e-13,4.4901447,0.732178,0.2458522,0.021969846,-0.060858324,-8.889148
Scanner,-21.5,-35.5,South Atlantic Ocean,2010,10.0,50,Crustaceans,"[False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False]",3650.3424496887937,5791.372894228102,4035.4407630117457,-1.9834108978937584,0.540455580199415,0.4299618185370495,0.2778994974455,2.326232655324583,0.9319591318730832,-0.4624419739737937,-8.55086391764484,0.9308822829599264,0.344792671197281,2010-10,October,5.469245,36.970688,214.2294,-4.0456705,76.30833,139.77733,2020.2888,23.638191,314.78482,0.011168750000000002,0.06575852,0.00019260996,49.46893,0.08073541,8.808463e-13,5.4073787,0.9230523,0.07601376,0.00093394186,-0.039432105,7.049913
